81,Donnez-vous des consignes de sécurité concernant l’organisation du chantier ?,7,QUESTION_CHOIX_UNIQUE,43
63,L’entreprise est-elle présentée sur votre page d’accueil ?,1,QUESTION_CHOIX_UNIQUE,37
69,Comment diffusez-vous vos offres d’emploi ?,10,QUESTION_CHOIX_MULTIPLE,38
54,Proposez-vous les avantages sociaux suivant :,5,QUESTION_CHOIX_MULTIPLE,34
76,Le DUERP est-il actualisé régulièrement ? ,8,QUESTION_CHOIX_UNIQUE,41
70,Que peut trouver un candidat sur votre site internet ?,3,QUESTION_CHOIX_MULTIPLE,38
55,Que mettez-vous en place pour améliorer l’ambiance au travail ?,5,QUESTION_CHOIX_MULTIPLE,35
64,Mettez-vous en avant les avantages pour les salariés de votre entreprise ?,7,QUESTION_CHOIX_MULTIPLE,37
77,Le DUERP est-il à la disposition des salariés ? ,8,QUESTION_CHOIX_UNIQUE,41
56,Comment mettez-vous en valeur votre charte graphique ?,4,QUESTION_CHOIX_MULTIPLE,35
71,Les tâches à réaliser par les salariés sont-elles détaillées précisément sur la fiche de poste ou le contrat de travail ?,1,QUESTION_CHOIX_UNIQUE,38
83,"Un contrôle systématique des équipements en hauteur (échafaudages, échelles..) est-il fait?",7,QUESTION_CHOIX_UNIQUE,44
66,Quelles catégories avez-vous dans les conditions d’emplois ?,4,QUESTION_CHOIX_MULTIPLE,37
57,Quelles pratiques RSE avez-vous mises en place,8,QUESTION_CHOIX_MULTIPLE,35
72,Réalisez-vous les entretiens individuels suivants ?,2,QUESTION_CHOIX_MULTIPLE,39
78,"Avant de réaliser des travaux, demandez-vous systématiquement au client s’il y a la présence d’amiante ?",8,QUESTION_CHOIX_UNIQUE,42
53,Proposez-vous les avantages économiques suivants:,7,QUESTION_CHOIX_MULTIPLE,34
73,Comment formez-vous vos employés ?,3,QUESTION_CHOIX_MULTIPLE,39
67,Votre site comporte-t-il :,6,QUESTION_CHOIX_MULTIPLE,37
58,Sur quels réseaux sociaux êtes-vous présent ?,11,QUESTION_CHOIX_MULTIPLE,36
59,A quelle fréquence êtes-vous actifs sur les réseaux sociaux ?,2,QUESTION_CHOIX_UNIQUE,36
79,"Si la présence d’amiante est avérée, des masques avec filtre P3 sont-ils à la disposition des travailleurs?",8,QUESTION_CHOIX_UNIQUE,42
60,"De vos réseaux sociaux, est-il possible d’accéder à votre site internet?",1,QUESTION_CHOIX_UNIQUE,36
68,Comment est-il possible de prendre contact avec vous ?,5,QUESTION_CHOIX_MULTIPLE,37
61,"De votre site internet, est-il possible d’accéder à vos réseaux sociaux ?",1,QUESTION_CHOIX_UNIQUE,36
65,Présentez-vous des témoignages de salarié sur votre site ?,2,QUESTION_CHOIX_UNIQUE,37
62,Avez-vous un site internet ?,1,QUESTION_CHOIX_UNIQUE,37
84,Utilisez-vous une protection individuelle lors de travaux en hauteur (harnais avec un système d’ancrage...) ?,7,QUESTION_CHOIX_UNIQUE,44
80,Les salariés ont-ils fait la formation amiante (SS4) ?,7,QUESTION_CHOIX_UNIQUE,42
93,Effectuez-vous de la prévention sur les risques liés au bruit ?,5,QUESTION_CHOIX_UNIQUE,47
88,Les salariés ont-ils eu une formation concernant les travaux en hauteur?,6,QUESTION_CHOIX_UNIQUE,44
85,Les salariés qui effectuent le montage ou démontage des échaffaudages ont-ils reçus une formation spécifique?,7,QUESTION_CHOIX_UNIQUE,44
75,Avez-vous le DUERP ( Document Unique d'Evaluation des Risques Professionnels) ?,8,QUESTION_CHOIX_UNIQUE,41
91,"Pour les charges lourdes, utilisez-vous des engins de levage ou d'aide à la manutention ?",6,QUESTION_CHOIX_UNIQUE,46
82,Déplacez-vous les matériaux au plus près de la zone de travail ?,4,QUESTION_CHOIX_UNIQUE,43
86,"Des protections collectives (filets, rambardes…) sont-elles mises en place pour éviter les risques de chute ?",8,QUESTION_CHOIX_UNIQUE,44
89,Vos échafaudages sont-ils contrôlés différemment en fonction des conditions météorologiques ?,3,QUESTION_CHOIX_UNIQUE,44
94,Mettez-vous à disposition de vos salariés des protections anti-bruit ?,5,QUESTION_CHOIX_UNIQUE,47
90,Privilégiez-vous un maximum le travail au sol grâce à différents outils tels que des perches téléscopiques?,6,QUESTION_CHOIX_UNIQUE,44
92,Privilégiez-vous les outils et machines portatives dont le poids est réduit ?,5,QUESTION_CHOIX_UNIQUE,46
96,"Des protections collectives ou individuelles (filets, rambardes, harnais…) sont-elles mises en place ?",6,QUESTION_CHOIX_UNIQUE,48
95,L'éclairage sur les lieux de travail est-il suffisant ? ,3,QUESTION_CHOIX_UNIQUE,48
98,Mettez-vous en place des panneaux de signalisation pour la sécurité des piétons (autres usagers susceptibles d'intervenir volontairement ou non sur le chantier) ? ,4,QUESTION_CHOIX_UNIQUE,48
99,Des masques anti-poussière sont-ils à la disposition des salariés exposés à des produits chimiques ou à la poussière ?,7,QUESTION_CHOIX_UNIQUE,49
100,Mettez-vous en place chaque année un contrôle médical pour vos salariés ?,3,QUESTION_CHOIX_UNIQUE,49
87,Limitez-vous le nombre de personnes présentes sur un échafaudage ?,6,QUESTION_CHOIX_UNIQUE,44
97,"Lors d'un chantier important , un coordonateur SPS (Sécurité et Protection de la Santé) est-il présent ? ",5,QUESTION_CHOIX_UNIQUE,48
104,Vos salariés disposent-ils d'une habilitation électrique ? ,7,QUESTION_CHOIX_UNIQUE,51
130,l'équipe a été impliqué?,5,QUESTION_CHOIX_UNIQUE,60
101,Quels sont les EPI (Équiments de Protection Individuelle) à la disposition des salariés ? ,10,QUESTION_CHOIX_MULTIPLE,50
113,Les travailleurs sont-ils formés sur la dangerosité des produits chimiques ? ,6,QUESTION_CHOIX_UNIQUE,54
102,Des gants de manutention adaptés sont-ils à la disposition des travailleurs?,4,QUESTION_CHOIX_UNIQUE,50
120,Priviligiez-vous l'achat de dispositifs anti-vibrations ? ,4,QUESTION_CHOIX_UNIQUE,57
103,Les distances de sécurité pour les lignes aériennes sont-elles systématiquement respectées (3m pour <50 000 Volt et 5m pour > 50 000 Volt) ? ,7,QUESTION_CHOIX_UNIQUE,51
114,"Les salariés ont-ils à disposition des équipements de sécurité pour éviter une potentielle contamination notamment avec la proximité de lieux insalubres (égoûts, caves, sanitaires...) ?",5,QUESTION_CHOIX_UNIQUE,54
105,"Vos salariés possèdent-ils une formation électrique de type B0, BS, BR ou BP ?",7,QUESTION_CHOIX_UNIQUE,51
137,Comment avez vous gérer la situation?,7,QUESTION_CHOIX_MULTIPLE,64
131,l'équipe a fini toutes les taches à faire?,10,QUESTION_CHOIX_UNIQUE,60
106,"Lors de travaux hors-tension, la consignation électrique est-elle systématiquement réalisée ? ",7,QUESTION_CHOIX_UNIQUE,51
115,Limitez-vous l'utilisation de décapants pour peinture ? ,4,QUESTION_CHOIX_UNIQUE,54
107,La totalité des habilitations électriques sont-elles à jour ? ,8,QUESTION_CHOIX_UNIQUE,51
121,Vos salariés alternent-ils les tâches pour limiter leur temps d'exposition aux vibrations ? ,4,QUESTION_CHOIX_UNIQUE,57
108,Mettez-vous à disposition de vos salariés des équipements efficaces anti-électrocution ? ,6,QUESTION_CHOIX_UNIQUE,51
116,Les salariés ont-ils accès aux FDS ( Fiche de Données de Sécurité) fournies par les fournisseurs des agents chimiques ?,5,QUESTION_CHOIX_UNIQUE,54
109,Assurez-vous l'entretien périodique des engis conformément aux préscriptions du fabricant ? ,4,QUESTION_CHOIX_UNIQUE,52
122,Contrôlez-vous régulièrement les dispositifs anti-vibratifs de vos outils électroportatifs ?,3,QUESTION_CHOIX_UNIQUE,57
